source_file,title,detail,year,mileage,price
craigslist_page_0.txt,1965 FORD RANCHERO,"san jose east7m ago25k mi$28,000pic",1965,25k mi,28000
craigslist_page_0.txt,2015 honda accord,"San Francisco11m ago95k mi$14,000pic",2015,95k mi,14000
craigslist_page_0.txt,2015 Honda Civic Coupe,"san leandro17m ago113k mi$8,900pic",2015,113k mi,8900
craigslist_page_0.txt,2013 Land Rover Range Rover Sport,"san francisco26m ago129k mi$9,400pic",2013,129k mi,9400
craigslist_page_0.txt,2014 Maserati GranTurismo 2D Coupe (one owner/11k miles),"peninsula27m ago12k mi$33,250pic",2014,12k mi,33250
craigslist_page_0.txt,"2007 Lexus RX350 very well-kept, Clean title SMOG today, heated seats","Berkeley/North Oakland29m ago200k mi$3,900pic",2007,200k mi,3900
craigslist_page_0.txt,"Toyota SIENNA 2004,2005,2006,2007,2008,2009,2010,2011,2012,le xle awd","*W.A.N.T.E.D!PROBLEMS OK,all bay areas/call/707/484/0523)31m ago111k mi$5,555pic",2004,111k mi,5555
craigslist_page_0.txt,2018 RAM 3500 4x4 Crew Cab – 6.7L Cummins Turbo Diesel – Only 63K Mile,"san mateo37m ago63k mi$62,000pic",2018,63k mi,62000
craigslist_page_0.txt,2009 TOYOTA COROLLA *NO OIL LEAK *SAVE GAS* BLUETOOTH,"san jose south44m ago207k mi$4,650pic",2009,207k mi,4650
craigslist_page_0.txt,2015 Mercedes S550,"San Ramon44m ago85k mi$40,000pic",2015,85k mi,40000
craigslist_page_0.txt,2007 honda civic,"San Jose44m ago130k mi$5,000pic",2007,130k mi,5000
craigslist_page_0.txt,1971 Chevy El Camino (SS Badging),"richmond / point / annex49m ago100k mi$22,850pic",1971,100k mi,22850
craigslist_page_0.txt,1994 Jeep Wrangler 70k miles,"brentwood / oakley49m ago70k mi$11,500pic",1994,70k mi,11500
craigslist_page_0.txt,2000 Ford F-150 XLT F150,"SACRAMENTO www.OakmontAutoSales.com51m ago102k mi$8,999pic",2000,102k mi,8999
craigslist_page_0.txt,2005 TOYOTA PRIUS *135K MILES* NO OIL LEAK *RUNNING QUIET *,"san jose south51m ago135k mi$3,250pic",2005,135k mi,3250
craigslist_page_0.txt,1948 Chevy two door coupe for sale,"rohnert pk / cotati52m ago10k mi$15,500pic",1948,10k mi,15500
craigslist_page_0.txt,2013 Nissan Rogue AWD,"santa rosa58m ago136k mi$4,200pic",2013,136k mi,4200
craigslist_page_0.txt,2005 Subaru Outback limited,"city of san francisco1h ago110k mi$3,900pic",2005,110k mi,3900
craigslist_page_0.txt,2016 BMW 535i Sedan,"alameda1h ago94k mi$9,875pic",2016,94k mi,9875
craigslist_page_0.txt,2005 Ford Thunderbird 50th Anniversary,"south bay area1h ago127k mi$8,975pic",2005,127k mi,8975
craigslist_page_0.txt,2007 Toyota Prius Smogged Clean Title Runs Excellent,"fairfield / vacaville1h ago160k mi$3,800pic",2007,160k mi,3800
craigslist_page_0.txt,14 foot box truck (chevy 3500 flat front gasoline) FOR SALE!,"novato1h ago144k mi$15,000pic",,144k mi,15000
craigslist_page_0.txt,2011 Honda Accord EX L V6 4dr Sedan,"north bay / marin1h ago177k mi$6,995pic",2011,177k mi,6995
craigslist_page_0.txt,2018 Honda Civic LX P 2dr Coupe,"north bay / marin1h ago104k mi$14,550pic",2018,104k mi,14550
craigslist_page_0.txt,2010 Volkswagen GTI Base PZEV 4dr Hatchback 6A,"north bay / marin1h ago105k mi$6,999pic",2010,105k mi,6999
craigslist_page_0.txt,BMW-X3 xDrive30i 2019 SUV AWD - Excellent condition - Single owner - C,"fremont / union city / newark1h ago51k mi$21,854pic",2019,51k mi,21854
craigslist_page_0.txt,2010 Toyota prius,"fremont / union city / newark1h ago61k mi$6,950pic",2010,61k mi,6950
craigslist_page_0.txt,2014 FORD FOCUS FOR SALE TO A GOOD HOME,richmond / point / annex2h ago180k mi$850pic,2014,180k mi,850
craigslist_page_0.txt,2017 Audi Q5 2.0T Quattro Premium Plus,"danville / san ramon2h ago92k mi$9,900pic",2017,92k mi,9900
craigslist_page_0.txt,2022 Ford Edge SEL Sport Utility 4D AWD,"danville / san ramon2h ago48k mi$14,900pic",2022,48k mi,14900
craigslist_page_0.txt,2018 FORD F250 CREW CAB LONG BED LOW MILES,"peninsula2h ago90k mi$17,900pic",2018,90k mi,17900
craigslist_page_0.txt,2016 Honda HR-V EX,"danville / san ramon2h ago85k mi$9,900pic",2016,85k mi,9900
craigslist_page_0.txt,2012 Volkswagen Beetle 2.5L Manual 5 Speed,"Aptos2h ago73k mi$14,999pic",2012,73k mi,14999
craigslist_page_0.txt,2019 Cadillac CTS-V Sedan ~ L@@K ~ Velocity Red ON Jet Black ~ We Fina,"3925 ALHAMBRA AVENUE MARTINEZ CA 945532h ago31k mi$84,995pic",2019,31k mi,84995
